Year,Month,DayofMonth,DayofWeek,CRSDepTime,CRSArrTime,UniqueCarrier,FlightNum,ActualElapsedTime,Origin,Dest,Distance,Diverted,ArrDelay
2008,1,1,2,10,737,NW,336,274,LAX,DTW,1979,0,-3
2008,1,1,2,15,823,B6,172,299,SMF,JFK,2521,0,-19
2008,1,1,2,25,535,AA,622,182,SMF,DFW,1431,0,12
2008,1,1,2,25,709,DL,430,266,PHX,JFK,2153,0,-24
2008,1,1,2,30,444,AS,198,222,ANC,SEA,1449,0,24
2008,1,1,2,30,605,NW,314,223,LAX,MSP,1536,0,11
2008,1,1,2,30,825,B6,200,269,LAS,JFK,2248,0,-27
2008,1,1,2,30,831,B6,88,287,ONT,JFK,2430,0,-23
2008,1,1,2,35,420,B6,749,155,MCO,SJU,1189,0,-15
2008,1,1,2,35,603,CO,1743,198,SFO,IAH,1635,0,-12
2008,1,1,2,40,500,AA,1650,136,LAS,DFW,1055,0,-9
2008,1,1,2,40,530,AA,2408,171,LAX,DFW,1235,0,-1
2008,1,1,2,40,612,NW,362,209,SFO,MSP,1589,0,41
2008,1,1,2,40,640,CO,1823,219,SEA,IAH,1874,0,-21
2008,1,1,2,40,744,DL,544,241,LAX,CVG,1900,0,-7
2008,1,1,2,40,753,DL,858,238,SEA,CVG,1964,0,-18
2008,1,1,2,45,605,AA,1806,199,LAS,ORD,1515,0,39
2008,1,1,2,45,612,DL,1816,192,PHX,ATL,1587,0,-16
2008,1,1,2,50,523,AS,100,238,ANC,PDX,1542,0,24
2008,1,1,2,53,602,NW,596,185,PDX,MSP,1426,0,-11
2008,1,1,2,55,533,DL,502,154,DEN,ATL,1199,0,-10
2008,1,1,2,55,538,CO,1496,164,LAS,IAH,1222,0,-5
2008,1,1,2,55,603,NW,154,186,SEA,MSP,1399,0,-3
2008,1,1,2,55,624,B6,98,215,DEN,JFK,1626,0,4
2008,1,1,2,55,803,DL,560,229,LAX,ATL,1946,0,-4
2008,1,1,2,59,632,DL,1799,191,PHX,CVG,1569,0,-26
2008,1,1,2,100,516,CO,223,210,ANC,SEA,1449,0,5
2008,1,1,2,100,558,NW,774,183,LAS,MSP,1300,0,0
2008,1,1,2,100,608,NW,166,178,SEA,MSP,1399,0,11
2008,1,1,2,100,610,AA,2466,181,SFO,DFW,1464,0,-7
2008,1,1,2,108,740,DL,792,295,ANC,SLC,2125,0,46
2008,1,1,2,110,600,AA,2454,157,LAX,DFW,1235,0,13
2008,1,1,2,115,545,AS,80,230,ANC,SEA,1449,0,15
2008,1,1,2,130,557,AS,114,230,FAI,SEA,1533,0,22
2008,1,1,2,135,634,CO,1684,175,LAX,IAH,1379,0,-16
2008,1,1,2,145,623,DL,840,155,DEN,ATL,1199,0,-8
2008,1,1,2,146,917,US,634,348,ANC,PHX,2551,0,23
2008,1,1,2,220,641,CO,235,228,ANC,SEA,1449,0,15
2008,1,1,2,230,640,HA,17,380,LAS,HNL,2762,0,12
2008,1,1,2,300,607,CO,488,232,SJU,EWR,1608,0,-12
2008,1,1,2,325,623,B6,708,228,SJU,JFK,1597,0,57
2008,1,1,2,400,608,B6,724,161,BQN,MCO,1129,0,-23
2008,1,1,2,415,625,B6,768,176,PSE,MCO,1180,0,22
2008,1,1,2,435,620,B6,764,179,PSE,FLL,1032,0,16
2008,1,1,2,450,620,NW,795,92,MOT,MSP,449,0,10
2008,1,1,2,500,537,AQ,205,35,HNL,LIH,102,0,-9
2008,1,1,2,500,555,9E,3773,76,GRR,DTW,120,0,22
2008,1,1,2,500,556,OO,6516,60,FAT,LAX,209,0,36
2008,1,1,2,500,610,NW,138,75,GFK,MSP,284,0,7
2008,1,1,2,500,647,YV,2647,140,EWR,CLT,529,0,33
2008,1,1,2,500,710,B6,750,172,SJU,MCO,1189,0,-26
2008,1,1,2,500,733,US,86,175,MSP,PHX,1276,0,-41
2008,1,1,2,500,740,US,607,249,ORD,PHX,1440,0,234
2008,1,1,2,505,542,AQ,200,34,HNL,OGG,100,0,-7
2008,1,1,2,505,613,NW,500,50,FSD,MSP,197,0,9
2008,1,1,2,506,606,NW,1213,45,LSE,MSP,120,0,3
2008,1,1,2,510,601,AQ,40,48,HNL,ITO,216,0,-9
2008,1,1,2,515,558,HA,108,37,HNL,KOA,163,0,-11
2008,1,1,2,515,925,XE,2140,179,SLC,IAH,1195,0,-10
2008,1,1,2,520,557,HA,106,32,HNL,OGG,100,0,-10
2008,1,1,2,520,603,AQ,82,35,HNL,KOA,163,0,-8
2008,1,1,2,520,610,OO,6407,50,FAT,SFO,158,0,0
2008,1,1,2,520,612,NW,1428,65,DLH,MSP,144,0,9
2008,1,1,2,520,850,US,12,147,PDX,PHX,1009,0,15
2008,1,1,2,525,612,9E,2861,68,RST,MSP,76,0,16
2008,1,1,2,525,616,HA,102,46,HNL,ITO,216,0,-7
2008,1,1,2,525,652,US,1519,108,PIT,CLT,366,0,16
2008,1,1,2,525,702,US,1889,95,MCO,CLT,468,0,-5
2008,1,1,2,525,729,FL,266,167,FNT,ATL,644,0,74
2008,1,1,2,525,800,XE,2431,205,ORF,IAH,1201,0,-22
2008,1,1,2,525,823,XE,2429,173,MSP,IAH,1034,0,-4
2008,1,1,2,525,911,US,274,170,SEA,PHX,1107,0,-3
2008,1,1,2,530,607,HA,103,36,HNL,LIH,102,0,-4
2008,1,1,2,530,609,OO,5512,38,OXR,LAX,49,0,-1
2008,1,1,2,530,638,XE,2785,62,BTR,IAH,253,0,0
2008,1,1,2,530,639,CO,222,68,MSY,IAH,305,0,-3
2008,1,1,2,530,639,YV,2632,75,SAV,CLT,213,0,1
2008,1,1,2,530,655,US,1779,84,BOS,PHL,280,0,-9
2008,1,1,2,530,657,US,1916,87,BWI,CLT,361,0,5
2008,1,1,2,530,707,US,1416,105,PHL,CLT,448,0,5
2008,1,1,2,530,707,US,1759,90,TPA,CLT,508,0,-18
2008,1,1,2,530,829,CO,611,273,EWR,IAH,1400,0,37
2008,1,1,2,530,839,NW,818,137,DEN,MEM,872,0,11
2008,1,1,2,530,850,AA,2061,212,BOS,MIA,1258,0,11
2008,1,1,2,530,858,DL,1267,149,MSP,ATL,906,0,36
2008,1,1,2,535,635,MQ,3782,55,SHV,DFW,190,0,-6
2008,1,1,2,535,728,YV,2709,169,IAH,PHX,1009,0,1
2008,1,1,2,535,728,YV,2774,120,DEN,PHX,602,0,-3
2008,1,1,2,535,754,XE,2872,125,OMA,IAH,781,0,-24
2008,1,1,2,535,818,CO,1677,232,PHL,IAH,1324,0,10
2008,1,1,2,535,820,CO,1516,159,ORD,IAH,925,0,14
2008,1,1,2,535,830,XE,2862,184,MKE,IAH,984,0,9
2008,1,1,2,540,630,MQ,3454,47,ABI,DFW,158,0,-5
2008,1,1,2,540,646,OO,5793,61,CIC,SFO,153,0,-4
2008,1,1,2,540,650,MQ,3468,76,XNA,DFW,281,0,16
2008,1,1,2,540,650,MQ,3746,78,LIT,DFW,304,0,3
2008,1,1,2,540,650,OO,5489,75,SBP,SFO,191,0,4
2008,1,1,2,540,702,OO,6369,129,TUS,SFO,751,0,-17
2008,1,1,2,540,730,FL,558,99,FLL,ATL,581,0,-13
2008,1,1,2,540,742,UA,1558,110,MCO,IAD,758,0,-16
2008,1,1,2,540,748,UA,1436,114,TPA,IAD,810,0,-15
2008,1,1,2,540,800,UA,323,139,PDX,LAX,834,0,-3
2008,1,1,2,540,829,FL,379,107,MLI,ATL,633,0,1
2008,1,1,2,540,840,FL,108,109,DFW,ATL,732,0,-16
2008,1,1,2,540,920,UA,422,146,SEA,DEN,1024,0,-10
2008,1,1,2,540,931,NW,580,182,BOI,MSP,1142,0,15
2008,1,1,2,541,630,OO,5484,55,PSP,LAX,110,0,0
2008,1,1,2,544,730,FL,901,114,PHF,ATL,508,0,4
2008,1,1,2,545,1044,CO,794,194,LAX,IAH,1379,0,7
2008,1,1,2,545,709,UA,674,92,OMA,ORD,416,0,9
2008,1,1,2,545,710,MQ,3472,92,BTR,DFW,383,0,2
2008,1,1,2,545,727,YV,2728,94,SLC,PHX,507,0,-8
2008,1,1,2,545,740,MQ,3796,187,GRR,DFW,931,0,10
2008,1,1,2,545,830,FL,37,115,MDW,ATL,590,0,7
2008,1,1,2,545,835,OH,5314,174,PWM,CVG,810,0,49
2008,1,1,2,545,840,FL,290,98,HOU,ATL,696,0,-21
2008,1,1,2,545,844,CO,633,248,LGA,IAH,1416,0,23
2008,1,1,2,545,855,AA,971,210,JFK,MIA,1090,0,94
2008,1,1,2,545,857,EV,4574,120,SAT,ATL,874,0,-13
2008,1,1,2,545,911,UA,505,138,OAK,DEN,957,0,-11
2008,1,1,2,550,610,MQ,4087,89,SDF,ORD,286,0,5
2008,1,1,2,550,655,MQ,3740,83,LBB,DFW,282,0,53
2008,1,1,2,550,700,MQ,3638,64,AMA,DFW,313,0,-9
2008,1,1,2,550,701,B6,1001,93,BOS,JFK,187,0,12
2008,1,1,2,550,701,UA,1295,68,RNO,SFO,192,0,-4
2008,1,1,2,550,704,MQ,3012,82,FAT,LAX,209,0,7
2008,1,1,2,550,715,MQ,3864,146,SGF,DFW,364,0,61
2008,1,1,2,550,717,B6,37,97,BUF,JFK,301,0,7
2008,1,1,2,550,720,MQ,3778,222,TYS,DFW,772,0,69
2008,1,1,2,550,730,FL,200,106,CAK,ATL,528,0,2
2008,1,1,2,550,748,UA,1456,243,TPA,DEN,1506,0,-2
2008,1,1,2,550,757,OH,5347,117,SYR,CVG,527,0,-10
2008,1,1,2,550,800,MQ,3564,220,GSO,DFW,999,0,25
2008,1,1,2,550,821,DL,921,169,BOS,CVG,752,0,16
2008,1,1,2,550,822,OH,5453,137,BTV,CVG,702,0,18
2008,1,1,2,550,855,AA,433,119,TUS,DFW,813,0,-8
2008,1,1,2,550,927,9E,3715,186,OKC,DTW,900,0,73
2008,1,1,2,550,932,NW,676,152,SLC,MSP,991,0,2
2008,1,1,2,555,730,FL,711,104,DAY,ATL,432,0,4
2008,1,1,2,555,730,MQ,4038,175,XNA,ORD,522,0,153
2008,1,1,2,555,730,US,641,147,DFW,PHX,868,0,-8
2008,1,1,2,555,745,MQ,3738,170,GSP,DFW,862,0,2
2008,1,1,2,555,750,9E,2946,165,HPN,DTW,505,0,156
2008,1,1,2,555,755,UA,1593,261,MCO,DEN,1545,0,18
2008,1,1,2,555,819,CO,1045,205,CLE,IAH,1091,0,-8
2008,1,1,2,555,825,OH,5689,170,MHT,CVG,741,0,65
2008,1,1,2,555,924,CO,1682,150,PHX,IAH,1009,0,0
2008,1,1,2,557,925,CO,1469,139,TUS,IAH,936,0,-12
2008,1,1,2,559,820,OH,5199,147,HPN,CVG,597,0,6
2008,1,1,2,600,1026,AS,88,231,ANC,SEA,1449,0,21
2008,1,1,2,600,1035,AA,1150,145,LAS,DFW,1055,0,-7
2008,1,1,2,600,1038,B6,735,231,JFK,BQN,1576,0,14
2008,1,1,2,600,1044,B6,713,232,JFK,SJU,1597,0,6
2008,1,1,2,600,1048,DL,780,151,DEN,ATL,1199,0,-18
2008,1,1,2,600,1055,AA,2068,192,ONT,DFW,1189,0,12
2008,1,1,2,600,1100,AA,802,172,LAX,DFW,1235,0,-7
2008,1,1,2,600,1101,CO,162,178,ONT,IAH,1334,0,-7
2008,1,1,2,600,1105,MQ,3494,173,SBA,DFW,1315,0,-14
2008,1,1,2,600,1117,UA,1290,187,DEN,IAD,1452,0,-13
2008,1,1,2,600,1125,AA,2200,211,SMF,DFW,1431,0,38
2008,1,1,2,600,1125,AA,520,191,SFO,DFW,1464,0,-17
2008,1,1,2,600,1141,CO,1810,266,SMF,IAH,1609,0,106
2008,1,1,2,600,1150,AA,2046,219,SEA,DFW,1660,0,-14
2008,1,1,2,600,1159,AA,764,252,LAX,ORD,1745,0,11
2008,1,1,2,600,1159,CO,308,230,PDX,IAH,1825,0,-14
2008,1,1,2,600,1320,AA,1090,263,LAS,MIA,2175,0,1
2008,1,1,2,600,1336,DL,1007,270,SEA,ATL,2182,0,4
2008,1,1,2,600,1340,AA,231,287,LAX,MIA,2342,0,2
2008,1,1,2,600,1344,UA,966,280,LAX,IAD,2288,0,-6
2008,1,1,2,600,1435,UA,170,333,SFO,BOS,2704,0,-4
2008,1,1,2,600,553,OO,5894,79,GRR,ORD,137,0,18
2008,1,1,2,600,605,MQ,4343,61,IND,ORD,177,0,-7
2008,1,1,2,600,610,MQ,4001,198,FNT,ORD,223,0,128
2008,1,1,2,600,612,OO,5901,82,TVC,ORD,224,0,7
2008,1,1,2,600,615,MQ,4376,71,CVG,ORD,264,0,-6
2008,1,1,2,600,622,OO,6030,70,LEX,ORD,323,0,-17
2008,1,1,2,600,627,OO,6523,80,PHX,LAX,370,0,-17
2008,1,1,2,600,637,AQ,240,35,HNL,OGG,100,0,-6
2008,1,1,2,600,639,YV,7349,95,PIT,ORD,412,0,-10
2008,1,1,2,600,640,MQ,4114,151,PIT,ORD,412,0,150
2008,1,1,2,600,646,OO,6088,89,TYS,ORD,475,0,-25
2008,1,1,2,600,648,EV,4772,40,AGS,ATL,143,0,-8
2008,1,1,2,600,650,UA,379,130,ROC,ORD,528,0,169
2008,1,1,2,600,655,MQ,3139,52,SBP,LAX,155,0,-6
2008,1,1,2,600,656,AS,143,49,ANC,FAI,261,0,-14
2008,1,1,2,600,657,OO,5507,55,SMX,LAX,135,0,-3
2008,1,1,2,600,657,YV,7306,58,BMI,ORD,116,0,18
2008,1,1,2,600,658,US,1298,45,RDU,CLT,130,0,-16
2008,1,1,2,600,700,AA,1157,53,AUS,DFW,190,0,-6
2008,1,1,2,600,700,AA,1734,57,SAT,DFW,247,0,-1
2008,1,1,2,600,700,AS,325,66,GEG,SEA,224,0,18
2008,1,1,2,600,700,MQ,3654,67,FSM,DFW,228,0,0
2008,1,1,2,600,700,XE,2119,71,ALB,EWR,143,0,2
2008,1,1,2,600,701,OO,1999,59,GSP,ATL,153,0,-7
2008,1,1,2,600,701,OO,5962,65,GRB,ORD,174,0,-2
2008,1,1,2,600,701,US,101,177,DFW,LAS,1055,0,-5
2008,1,1,2,600,702,UA,755,121,IAD,ORD,589,0,-5
2008,1,1,2,600,703,OO,6389,118,SLC,SFO,599,0,128
2008,1,1,2,600,704,YV,2601,71,ILM,CLT,185,0,0
2008,1,1,2,600,705,MQ,3348,51,LAW,DFW,140,0,-21
2008,1,1,2,600,705,MQ,3574,57,HOU,DFW,247,0,-14
2008,1,1,2,600,705,MQ,4385,112,CLT,ORD,599,0,-17
2008,1,1,2,600,707,OO,6504,72,CWA,ORD,213,0,2
2008,1,1,2,600,709,YV,7078,70,EGE,DEN,121,0,22
2008,1,1,2,600,710,AA,300,75,TUL,DFW,237,0,0
2008,1,1,2,600,711,AS,62,60,FAI,ANC,Spa261,0,-22
2008,1,1,2,600,715,MQ,4602,93,BOS,JFK,187,0,17
2008,1,1,2,600,715,MQ,4814,75,BOS,LGA,185,0,8
2008,1,1,2,600,715,YV,7095,74,HDN,DEN,142,0,-1
2008,1,1,2,600,715,YV,7249,92,DSM,ORD,299,0,10
2008,1,1,2,600,716,B6,1300,60,IAD,JFK,228,0,-23
2008,1,1,2,600,717,OO,5875,146,AVP,ORD,631,0,7
2008,1,1,2,600,718,B6,1133,63,SYR,JFK,209,0,-22
2008,1,1,2,600,718,EV,4197,76,SDF,ATL,321,0,-6
2008,1,1,2,600,718,OO,5493,85,RDD,SFO,199,0,6
2008,1,1,2,600,718,UA,337,155,PHL,ORD,678,0,14
2008,1,1,2,600,718,XE,7802,75,SFO,LAX,337,0,-8
2008,1,1,2,600,720,B6,19,96,BTV,JFK,267,0,11
2008,1,1,2,600,720,B6,45,88,ROC,JFK,264,0,1
2008,1,1,2,600,720,MQ,3191,75,LAX,SJC,308,0,-3
2008,1,1,2,600,720,MQ,3568,76,CRP,DFW,354,0,-5
2008,1,1,2,600,720,XE,3062,142,TYS,IAH,772,0,0
2008,1,1,2,600,720,YV,2819,78,ELP,PHX,347,0,-2
2008,1,1,2,600,721,UA,1152,75,LAX,SFO,337,0,-10
2008,1,1,2,600,721,YV,7178,69,CLT,IAD,321,0,-12
2008,1,1,2,600,722,OO,6463,117,SMF,LAX,373,0,31
2008,1,1,2,600,722,XE,7756,92,LAX,SMF,373,0,7
2008,1,1,2,600,723,YV,7064,70,GJT,DEN,212,0,-10
2008,1,1,2,600,724,DL,1875,78,RDU,ATL,356,0,-8